Name,Address,Phone,Fax,LHD
Albury Wodonga Health,"201 Borella Road, Albury NSW 2640",02 6058 4444,,Albury Wodonga Health
Armidale Rural Referral Hospital,"Rusden Street, Armidale NSW 2350",02 6776 9500,02 6776 4774,Hunter New England Local Health District
Auburn Hospital & Community Health Services,"Hargrave Road, Auburn NSW 2144",02 8759 3000,02 9563 9666,Western Sydney Local Health District
Ballina District Hospital,"Cherry Street, Ballina NSW 2478",02 6686 2111,02 6686 6731,Northern NSW Local Health District
Balmain Hospital,"29 Booth Street, Balmain NSW 2041",02 9395 2111,02 9395 2020,Sydney Local Health District
Balranald District Hospital,"Market Street, Balranald NSW 2715",03 5020 1606,03 5020 1499,Far West Local Health District
Bankstown Lidcombe Hospital,"Eldridge Road, Bankstown NSW 2200",02 9722 8000,02 9722 8570,South Western Sydney Local Health District
Baradine Multi-Purpose Service,"Cnr Darling and Macquarie Street, Baradine NSW 2396",02 6843 4100,02 6843 1535,Western NSW Local Health District
Baradine Residential Aged Care,"Corner of Darling and Macquarie Street, Baradine NSW 2396",02 6843 1909,,Western NSW Local Health District
Barham Koondrook Soldiers Memorial Hospital,"Punt Road, Barham NSW 2732",03 5451 1000,03 5453 2656,Murrumbidgee Local Health District
Barraba Multi Purpose Service,"Edward Street, Barraba NSW 2347",02 6782 2500,02 6782 1808,Hunter New England Local Health District
Barraba Residential Aged Care,"Edward Street, Barraba NSW 2347",02 6782 2507,,Hunter New England Local Health District
Bateman's Bay District Hospital,"7 Pacific Street, Batemans Bay NSW 2536",02 4475 1500,02 4472 0678,Southern NSW Local Health District
Bathurst Base Hospital,"Howick Street, Bathurst NSW 2795",02 6330 5311,02 6339 5281,Western NSW Local Health District
Batlow/Adelong Multi Purpose Service,"61-81 Pioneer Street, Batlow NSW 2730",02 6941 4333,02 6941 4331,Murrumbidgee Local Health District
Batlow/Adelong Residential Aged Care,"61-81 Pioneer Street, Batlow NSW 2730",02 6941 4333,02 6941 4331,Murrumbidgee Local Health District
Bega District Hospital,"McKee Drive, Bega NSW 2550",02 6492 9111,02 6492 3274,Southern NSW Local Health District
Bellingen River District Hospital,"Church Street, Bellingen NSW 2454",02 6659 5800,02 6655 1838,Mid North Coast Local Health District
Belmont Hospital,"Croudace Bay Road, Belmont NSW 2280",02 4923 2000,02 4923 2106,Hunter New England Local Health District
Berrigan Residential Aged Care,"Memorial Street, Berrigan NSW 2712",03 5885 2208,,Murrumbidgee Local Health District
Berrigan War Memorial Hospital,"Memorial Street, Berrigan NSW 2712",03 5885 2208,03 5885 2505,Murrumbidgee Local Health District
Bingara Multi Purpose Service,"Keera Road, Bingara NSW 2404",02 6728 0100,02 6724 1708,Hunter New England Local Health District
Bingara Residential Aged Care,"Keera Road, Bingara NSW 2304",02 6728 0130,,Hunter New England Local Health District
Blacktown Hospital,"Blacktown Road, Blacktown NSW 2148",02 9881 8000,02 9881 8020,Western Sydney Local Health District
